# ThrustCurves sample telemetry — synthetic autocross run, 2021 Mazda MX-5 (ND2), 10 Hz
# Course: launch → 70 m straight → brake → 5-gate slalom → straight → brake → sweeper → 110 m straight → brake → sweeper → finish
Time (s),Speed (mph),Distance (m),LongAccel (g),LatAccel (g),Throttle (%),RPM,Latitude,Longitude
0.000,0.00,0.00,0.216,0.000,100,398,39.0000000,-104.0000000
0.100,0.47,0.01,0.216,0.000,100,398,39.0000001,-104.0000000
0.200,0.95,0.04,0.216,0.000,100,398,39.0000004,-104.0000000
0.300,1.42,0.10,0.216,0.000,100,398,39.0000009,-104.0000000
0.400,1.90,0.17,0.216,0.000,100,398,39.0000015,-104.0000000
0.500,2.37,0.27,0.216,0.000,100,422,39.0000024,-104.0000000
0.600,2.84,0.38,0.216,0.000,100,507,39.0000035,-104.0000000
0.700,3.32,0.52,0.216,0.000,100,591,39.0000047,-104.0000000
0.800,3.80,0.68,0.224,0.000,100,677,39.0000061,-104.0000000
0.900,4.30,0.86,0.233,0.000,100,766,39.0000078,-104.0000000
1.000,4.84,1.07,0.264,0.000,100,861,39.0000096,-104.0000000
1.100,5.46,1.30,0.313,0.000,100,973,39.0000117,-104.0000000
1.200,6.20,1.56,0.364,0.000,100,1105,39.0000140,-104.0000000
1.300,7.06,1.86,0.419,0.000,100,1257,39.0000167,-104.0000000
1.400,8.04,2.20,0.476,0.000,100,1432,39.0000197,-104.0000000
1.500,9.14,2.58,0.527,0.000,100,1627,39.0000232,-104.0000000
1.600,10.34,3.02,0.567,0.000,100,1841,39.0000271,-104.0000000
1.700,11.61,3.51,0.595,0.000,100,2068,39.0000315,-104.0000000
1.800,12.94,4.06,0.613,0.000,100,2304,39.0000365,-104.0000000
1.900,14.29,4.67,0.620,0.000,100,2546,39.0000419,-104.0000000
2.000,15.65,5.34,0.620,0.000,100,2788,39.0000480,-104.0000000
2.100,17.01,6.07,0.620,0.000,100,3030,39.0000545,-104.0000000
2.200,18.37,6.86,0.620,0.000,100,3272,39.0000616,-104.0000000
2.300,19.73,7.72,0.620,0.000,100,3515,39.0000693,-104.0000000
2.400,21.09,8.63,0.620,0.000,100,3757,39.0000775,-104.0000000
2.500,22.45,9.60,0.620,0.000,100,3999,39.0000863,-104.0000000
2.600,23.81,10.64,0.620,0.000,100,4241,39.0000956,-104.0000000
2.700,25.17,11.74,0.620,0.000,100,4484,39.0001054,-104.0000000
2.800,26.53,12.89,0.620,0.000,100,4726,39.0001158,-104.0000000
2.900,27.89,14.11,0.620,0.000,100,4968,39.0001268,-104.0000000
3.000,29.25,15.39,0.620,0.000,100,5211,39.0001383,-104.0000000
3.100,30.61,16.73,0.620,0.000,100,5453,39.0001503,-104.0000000
3.200,31.97,18.13,0.620,0.000,100,5695,39.0001629,-104.0000000
3.300,33.33,19.59,0.620,0.000,100,5937,39.0001760,-104.0000000
3.400,34.69,21.11,0.620,0.000,100,6180,39.0001897,-104.0000000
3.500,36.05,22.70,0.616,0.000,100,6421,39.0002039,-104.0000000
3.600,37.39,24.34,0.607,0.000,100,6661,39.0002187,-104.0000000
3.700,38.72,26.04,0.602,0.000,100,6897,39.0002339,-104.0000000
3.800,40.03,27.80,0.592,0.000,100,7131,39.0002498,-104.0000000
3.900,41.31,29.62,0.569,0.000,100,7358,39.0002661,-104.0000000
4.000,42.54,31.50,0.547,0.000,100,7577,39.0002830,-104.0000000
4.100,43.57,33.43,0.393,0.000,100,7760,39.0003003,-104.0000000
4.200,44.41,35.39,0.384,0.000,100,4763,39.0003180,-104.0000000
4.300,45.25,37.40,0.383,0.000,100,4853,39.0003360,-104.0000000
4.400,46.09,39.44,0.382,0.000,100,4943,39.0003543,-104.0000000
4.500,46.93,41.52,0.382,0.000,100,5033,39.0003730,-104.0000000
4.600,47.77,43.64,0.380,0.000,100,5122,39.0003920,-104.0000000
4.700,48.60,45.80,0.379,0.000,100,5211,39.0004114,-104.0000000
4.800,49.43,47.99,0.377,0.000,100,5300,39.0004311,-104.0000000
4.900,50.25,50.22,0.376,0.000,100,5389,39.0004511,-104.0000000
5.000,51.08,52.48,0.375,0.000,100,5477,39.0004715,-104.0000000
5.100,51.90,54.79,0.373,0.000,100,5565,39.0004921,-104.0000000
5.200,52.72,57.12,0.371,0.000,100,5653,39.0005132,-104.0000000
5.300,53.53,59.50,0.369,0.000,100,5740,39.0005345,-104.0000000
5.400,54.34,61.91,0.367,0.000,100,5827,39.0005562,-104.0000000
5.500,55.14,64.36,0.365,0.000,100,5913,39.0005782,-104.0000000
5.600,55.94,66.84,0.362,0.000,100,5998,39.0006005,-104.0000000
5.700,56.73,69.36,0.359,0.000,100,6083,39.0006231,-104.0000000
5.800,55.58,71.88,-0.900,0.000,0,5960,39.0006457,-104.0000000
5.900,53.61,74.32,-0.900,0.000,0,5749,39.0006677,-104.0000000
6.000,51.63,76.67,-0.900,0.000,0,5537,39.0006888,-104.0000000
6.100,49.66,78.94,-0.900,0.000,0,5325,39.0007091,-104.0000000
6.200,47.69,81.11,-0.900,0.000,0,5114,39.0007286,-104.0000000
6.300,45.71,83.19,-0.900,0.000,0,4902,39.0007473,-104.0000000
6.400,43.74,85.19,-0.900,0.000,0,4690,39.0007653,-104.0000000
6.500,41.76,87.10,-0.900,0.000,0,7439,39.0007824,-104.0000000
6.600,39.79,88.92,-0.900,0.000,0,7087,39.0007988,-104.0000000
6.700,37.81,90.65,-0.900,0.000,0,6735,39.0008143,-104.0000000
6.800,35.84,92.30,-0.900,0.000,0,6384,39.0008291,-104.0000000
6.900,37.02,93.92,0.598,0.302,100,6593,39.0008437,-103.9999999
7.000,38.27,95.61,0.531,0.595,100,6816,39.0008589,-103.9999995
7.100,39.33,97.34,0.435,0.819,100,7006,39.0008744,-103.9999985
7.200,40.20,99.12,0.359,0.938,100,7160,39.0008903,-103.9999964
7.300,40.97,100.94,0.367,0.927,100,7298,39.0009065,-103.9999933
7.400,41.86,102.79,0.456,0.779,100,7457,39.0009228,-103.9999891
7.500,42.95,104.69,0.485,0.507,100,7651,39.0009393,-103.9999839
7.600,43.88,106.63,0.384,0.148,100,4705,39.0009562,-103.9999780
7.700,44.72,108.61,0.383,-0.243,100,4795,39.0009733,-103.9999719
7.800,45.56,110.63,0.383,-0.598,100,4886,39.0009908,-103.9999658
7.900,46.40,112.69,0.382,-0.852,100,4975,39.0010088,-103.9999604
8.000,47.21,114.78,0.350,-0.950,100,5062,39.0010273,-103.9999558
8.100,48.01,116.91,0.380,-0.865,100,5148,39.0010462,-103.9999521
8.200,48.84,119.07,0.378,-0.606,100,5237,39.0010655,-103.9999494
8.300,49.67,121.28,0.377,-0.217,100,5326,39.0010852,-103.9999473
8.400,50.49,123.52,0.376,0.225,100,5415,39.0011053,-103.9999453
8.500,51.32,125.79,0.374,0.623,100,5503,39.0011257,-103.9999432
8.600,52.14,128.11,0.373,0.885,100,5591,39.0011463,-103.9999402
8.700,52.93,130.46,0.355,0.943,100,5676,39.0011672,-103.9999363
8.800,53.73,132.84,0.369,0.773,100,5762,39.0011883,-103.9999312
8.900,54.54,135.26,0.366,0.407,100,5848,39.0012095,-103.9999253
9.000,55.34,137.72,0.364,-0.068,100,5934,39.0012310,-103.9999188
9.100,56.14,140.21,0.362,-0.531,100,6020,39.0012528,-103.9999122
9.200,56.93,142.74,0.359,-0.856,100,6104,39.0012750,-103.9999062
9.300,57.70,145.30,0.352,-0.946,100,6188,39.0012977,-103.9999010
9.400,58.48,147.90,0.353,-0.766,100,6271,39.0013208,-103.9998968
9.500,59.25,150.53,0.351,-0.358,100,6354,39.0013443,-103.9998933
9.600,60.02,153.20,0.349,0.163,100,6437,39.0013681,-103.9998903
9.700,60.78,155.90,0.347,0.639,100,6518,39.0013923,-103.9998870
9.800,61.54,158.64,0.344,0.918,100,6600,39.0014166,-103.9998829
9.900,62.30,161.41,0.342,0.902,100,6680,39.0014412,-103.9998778
10.000,63.05,164.21,0.340,0.585,100,6761,39.0014659,-103.9998717
10.100,63.79,167.04,0.339,0.066,100,6841,39.0014908,-103.9998648
10.200,64.53,169.91,0.338,0.000,100,6920,39.0015160,-103.9998577
10.300,65.27,172.81,0.337,0.000,100,7000,39.0015415,-103.9998506
10.400,66.01,175.75,0.334,0.000,100,7079,39.0015672,-103.9998433
10.500,66.74,178.72,0.330,0.000,100,7157,39.0015933,-103.9998360
10.600,67.46,181.72,0.326,0.000,100,7234,39.0016196,-103.9998286
10.700,68.17,184.75,0.320,0.000,100,7310,39.0016462,-103.9998211
10.800,68.86,187.81,0.314,0.000,100,7385,39.0016731,-103.9998136
10.900,69.55,190.91,0.309,0.000,100,7458,39.0017002,-103.9998059
11.000,70.22,194.03,0.306,0.000,100,7530,39.0017277,-103.9997982
11.100,70.88,197.19,0.282,0.000,100,7600,39.0017554,-103.9997904
11.200,71.46,200.37,0.249,0.000,100,7663,39.0017833,-103.9997826
11.300,71.99,203.58,0.241,0.000,100,5438,39.0018114,-103.9997747
11.400,72.52,206.81,0.241,0.000,100,5478,39.0018398,-103.9997667
11.500,73.05,210.06,0.240,0.000,100,5518,39.0018683,-103.9997587
11.600,73.57,213.34,0.239,0.000,100,5558,39.0018971,-103.9997506
11.700,74.10,216.64,0.238,0.000,100,5597,39.0019261,-103.9997424
11.800,74.62,219.97,0.237,0.000,100,5637,39.0019553,-103.9997342
11.900,75.14,223.31,0.236,0.000,100,5676,39.0019846,-103.9997260
12.000,75.65,226.69,0.235,0.000,100,5715,39.0020142,-103.9997176
12.100,74.22,230.04,-0.950,0.000,0,5607,39.0020437,-103.9997094
12.200,72.14,233.31,-0.950,0.000,0,5449,39.0020724,-103.9997013
12.300,70.05,236.49,-0.950,0.000,0,7512,39.0021003,-103.9996934
12.400,67.97,239.57,-0.950,0.000,0,7289,39.0021273,-103.9996858
12.500,65.88,242.56,-0.950,0.000,0,7065,39.0021536,-103.9996785
12.600,63.80,245.46,-0.950,0.000,0,6842,39.0021790,-103.9996713
12.700,61.72,248.26,-0.950,0.000,0,6618,39.0022036,-103.9996644
12.800,59.63,250.97,-0.950,0.000,0,6395,39.0022274,-103.9996577
12.900,57.55,253.59,-0.950,0.000,0,6171,39.0022503,-103.9996513
13.000,55.46,256.11,-0.950,0.000,0,5948,39.0022725,-103.9996450
13.100,53.38,258.54,-0.950,0.000,0,5724,39.0022938,-103.9996390
13.200,51.30,260.88,-0.950,0.000,0,5501,39.0023143,-103.9996333
13.300,49.21,263.12,-0.950,0.000,0,5277,39.0023340,-103.9996277
13.400,47.13,265.28,-0.950,0.000,0,5054,39.0023529,-103.9996224
13.500,45.04,267.33,-0.950,0.000,0,4830,39.0023710,-103.9996173
13.600,42.96,269.30,-0.950,0.000,0,7652,39.0023882,-103.9996125
13.700,40.88,271.17,-0.950,0.000,0,7281,39.0024046,-103.9996079
13.800,38.79,272.95,-0.950,0.000,0,6910,39.0024202,-103.9996035
13.900,36.71,274.63,-0.950,0.000,0,6539,39.0024350,-103.9995993
14.000,34.62,276.23,-0.950,0.000,0,6167,39.0024490,-103.9995954
14.100,32.54,277.72,-0.950,0.000,0,5796,39.0024621,-103.9995917
14.200,30.46,279.13,-0.950,0.000,0,5425,39.0024745,-103.9995882
14.300,29.00,280.45,0.007,1.000,30,5166,39.0024860,-103.9995849
14.400,29.02,281.75,0.006,1.000,30,5168,39.0024972,-103.9995808
14.500,29.03,283.04,0.005,1.000,30,5171,39.0025082,-103.9995756
14.600,29.04,284.34,0.004,1.000,30,5172,39.0025188,-103.9995694
14.700,29.05,285.64,0.003,1.000,30,5174,39.0025290,-103.9995621
14.800,29.05,286.94,0.003,1.000,30,5175,39.0025387,-103.9995539
14.900,29.06,288.24,0.002,1.000,30,5176,39.0025480,-103.9995448
15.000,29.06,289.54,0.002,1.000,30,5176,39.0025567,-103.9995348
15.100,29.06,290.83,0.001,1.000,30,5177,39.0025648,-103.9995239
15.200,29.07,292.13,0.001,1.000,30,5178,39.0025722,-103.9995123
15.300,29.07,293.43,0.001,1.000,30,5178,39.0025789,-103.9995000
15.400,29.07,294.73,0.001,1.000,30,5178,39.0025849,-103.9994871
15.500,29.07,296.03,0.001,1.000,30,5179,39.0025901,-103.9994737
15.600,29.07,297.33,0.001,1.000,30,5179,39.0025945,-103.9994598
15.700,29.08,298.63,0.000,1.000,30,5179,39.0025981,-103.9994455
15.800,29.08,299.93,0.000,1.000,30,5179,39.0026008,-103.9994309
15.900,29.08,301.23,0.000,1.000,30,5179,39.0026027,-103.9994161
16.000,29.08,302.53,0.000,1.000,30,5179,39.0026037,-103.9994011
16.100,29.08,303.83,0.000,1.000,30,5179,39.0026038,-103.9993861
16.200,29.08,305.13,0.000,1.000,30,5179,39.0026030,-103.9993711
16.300,29.08,306.43,0.000,1.000,30,5180,39.0026014,-103.9993562
16.400,29.08,307.73,0.000,1.000,30,5180,39.0025989,-103.9993415
16.500,29.08,309.03,0.000,1.000,30,5180,39.0025955,-103.9993272
16.600,29.08,310.33,0.000,1.000,30,5180,39.0025913,-103.9993131
16.700,29.08,311.63,0.000,1.000,30,5180,39.0025863,-103.9992996
16.800,29.08,312.93,0.000,1.000,30,5180,39.0025805,-103.9992865
16.900,29.08,314.23,0.000,1.000,30,5180,39.0025740,-103.9992741
17.000,29.08,315.53,0.000,1.000,30,5180,39.0025668,-103.9992623
17.100,29.08,316.83,0.000,1.000,30,5180,39.0025589,-103.9992512
17.200,29.08,318.13,0.000,1.000,30,5180,39.0025503,-103.9992410
17.300,29.08,319.43,0.000,1.000,30,5180,39.0025412,-103.9992316
17.400,29.08,320.73,0.000,1.000,30,5180,39.0025316,-103.9992231
17.500,29.08,322.03,0.000,1.000,30,5180,39.0025215,-103.9992156
17.600,29.08,323.33,0.000,1.000,30,5180,39.0025110,-103.9992090
17.700,29.08,324.63,0.000,1.000,30,5180,39.0025001,-103.9992035
17.800,29.96,325.94,0.620,0.000,100,5337,39.0024889,-103.9991988
17.900,31.32,327.32,0.620,0.000,100,5580,39.0024772,-103.9991940
18.000,32.68,328.75,0.620,0.000,100,5822,39.0024649,-103.9991889
18.100,34.04,330.24,0.620,0.000,100,6064,39.0024521,-103.9991836
18.200,35.40,331.80,0.620,0.000,100,6306,39.0024389,-103.9991781
18.300,36.76,333.41,0.611,0.000,100,6547,39.0024250,-103.9991724
18.400,38.09,335.08,0.603,0.000,100,6784,39.0024107,-103.9991665
18.500,39.41,336.82,0.599,0.000,100,7019,39.0023959,-103.9991603
18.600,40.71,338.61,0.581,0.000,100,7251,39.0023806,-103.9991540
18.700,41.96,340.46,0.560,0.000,100,7473,39.0023648,-103.9991474
